iter	Passed	Remaining
0	48	48600
1	49	24863
2	50	16892
3	52	12953
4	52	10544
5	54	8947
6	54	7797
7	55	6915
8	56	6245
9	57	5700
10	58	5257
11	59	4892
12	60	4584
13	61	4327
14	62	4098
15	63	3899
16	64	3719
17	65	3553
18	65	3403
19	66	3275
20	67	3159
21	68	3050
22	69	2959
23	70	2865
24	71	2779
25	72	2709
26	73	2648
27	74	2580
28	75	2515
29	76	2459
30	76	2404
31	77	2352
32	78	2304
33	79	2260
34	80	2218
35	81	2177
36	82	2138
37	83	2106
38	84	2080
39	85	2050
40	86	2020
41	87	1990
42	88	1961
43	88	1932
44	89	1905
45	90	1879
46	91	1853
47	92	1829
48	93	1808
49	94	1786
50	95	1767
51	95	1747
52	96	1728
53	97	1711
54	98	1697
55	99	1681
56	100	1664
57	101	1648
58	102	1634
59	103	1617
60	103	1600
61	104	1586
62	105	1573
63	106	1560
64	107	1549
65	108	1536
66	109	1523
67	109	1504
68	110	1495
69	111	1483
70	112	1472
71	113	1460
72	114	1451
73	115	1441
74	116	1431
75	116	1422
76	117	1411
77	118	1401
78	119	1393
79	120	1386
80	121	1377
81	122	1368
82	122	1358
83	123	1348
84	124	1337
85	125	1330
86	125	1318
87	126	1311
88	127	1303
89	128	1295
90	128	1288
91	129	1280
92	130	1273
93	131	1266
94	132	1258
95	132	1251
96	133	1243
97	134	1236
98	134	1228
99	135	1222
100	136	1216
101	137	1206
102	137	1200
103	138	1194
104	139	1187
105	139	1180
106	140	1173
107	141	1166
108	141	1159
109	142	1152
110	143	1145
111	143	1140
112	144	1134
113	145	1127
114	145	1120
115	146	1113
116	146	1106
117	147	1101
118	147	1094
119	148	1087
120	148	1080
121	149	1074
122	149	1065
123	149	1059
124	150	1053
125	150	1047
126	151	1041
127	151	1034
128	152	1028
129	152	1022
130	153	1016
131	153	1009
132	153	1003
133	154	997
134	154	991
135	155	986
136	155	980
137	155	973
138	156	968
139	156	962
140	156	956
141	157	950
142	157	945
143	158	939
144	158	934
145	158	928
146	159	923
147	159	918
148	159	912
149	160	907
150	160	902
151	160	896
152	161	891
153	161	886
154	161	881
155	161	875
156	162	870
157	162	865
158	162	860
159	163	856
160	163	851
161	163	846
162	163	841
163	164	836
164	164	832
165	164	827
166	164	822
167	165	818
168	165	814
169	165	809
170	166	805
171	166	800
172	166	796
173	166	792
174	167	787
175	167	783
176	167	779
177	167	775
178	168	771
179	168	767
180	168	762
181	168	758
182	169	754
183	169	750
184	169	746
185	169	742
186	169	738
187	170	734
188	170	730
189	170	727
190	170	723
191	171	719
192	171	716
193	171	712
194	171	708
195	171	705
196	172	701
197	172	697
198	172	694
199	172	690
200	172	687
201	173	683
202	173	680
203	173	677
204	173	673
205	173	670
206	174	667
207	174	663
208	174	660
209	174	657
210	174	654
211	175	651
212	175	647
213	175	644
214	175	641
215	175	638
216	176	635
217	176	632
218	176	629
219	176	626
220	176	623
221	176	620
222	177	617
223	177	614
224	177	611
225	177	608
226	177	605
227	178	603
228	178	600
229	178	597
230	178	594
231	178	592
232	179	589
233	179	586
234	179	584
235	179	581
236	179	579
237	180	576
238	180	573
239	180	571
240	180	568
241	180	566
242	181	563
243	181	561
244	181	559
245	181	556
246	181	554
247	182	552
248	182	549
249	182	547
250	182	545
251	182	542
252	183	540
253	183	538
254	183	536
255	183	533
256	183	531
257	184	529
258	184	527
259	184	525
260	184	522
261	184	520
262	185	518
263	185	516
264	185	514
265	185	512
266	185	510
267	186	508
268	186	506
269	186	504
270	186	502
271	186	500
272	187	498
273	187	496
274	187	494
275	187	492
276	187	490
277	188	488
278	188	486
279	188	484
280	188	482
281	188	480
282	189	478
283	189	476
284	189	475
285	189	473
286	189	471
287	189	469
288	190	467
289	190	465
290	190	464
291	190	462
292	190	460
293	191	458
294	191	457
295	191	455
296	191	453
297	191	451
298	192	450
299	192	448
300	192	446
301	192	445
302	192	443
303	192	441
304	193	440
305	193	439
306	193	437
307	194	435
308	194	434
309	194	432
310	194	431
311	194	429
312	195	428
313	195	426
314	195	424
315	195	423
316	195	421
317	195	420
318	196	418
319	196	417
320	196	415
321	196	414
322	196	412
323	197	411
324	197	409
325	197	408
326	197	406
327	197	405
328	198	403
329	198	402
330	198	401
331	198	399
332	198	398
333	198	396
334	199	395
335	199	393
336	199	392
337	199	391
338	199	389
339	200	388
340	200	387
341	200	385
342	200	384
343	200	383
344	201	381
345	201	380
346	201	379
347	201	377
348	201	376
349	202	375
350	202	373
351	202	372
352	202	371
353	202	369
354	202	368
355	203	367
356	203	366
357	203	364
358	203	363
359	203	362
360	204	361
361	204	359
362	204	358
363	204	357
364	204	356
365	205	355
366	205	354
367	205	352
368	205	351
369	205	350
370	206	349
371	206	348
372	206	347
373	206	345
374	206	344
375	207	343
376	207	342
377	207	341
378	207	340
379	207	339
380	207	337
381	208	336
382	208	335
383	208	334
384	208	333
385	208	332
386	209	331
387	209	330
388	209	329
389	209	328
390	209	326
391	210	325
392	210	324
393	210	323
394	210	322
395	210	321
396	211	320
397	211	319
398	211	318
399	211	317
400	211	316
401	212	315
402	212	314
403	212	313
404	212	312
405	212	311
406	213	310
407	213	309
408	213	308
409	213	307
410	213	306
411	213	305
412	214	304
413	214	303
414	214	302
415	214	301
416	214	300
417	215	299
418	215	298
419	215	297
420	215	296
421	215	295
422	215	294
423	216	293
424	216	292
425	216	291
426	216	290
427	216	289
428	217	289
429	217	288
430	217	287
431	217	286
432	217	285
433	218	284
434	218	283
435	218	282
436	218	281
437	218	280
438	219	280
439	219	279
440	219	278
441	219	277
442	219	276
443	220	275
444	220	274
445	220	273
446	220	273
447	220	272
448	221	271
449	221	270
450	221	269
451	221	268
452	221	267
453	222	267
454	222	266
455	222	265
456	222	264
457	222	263
458	223	262
459	223	262
460	223	261
461	223	260
462	223	259
463	223	258
464	224	257
465	224	257
466	224	256
467	224	255
468	224	254
469	225	253
470	225	253
471	225	252
472	225	251
473	225	250
474	226	249
475	226	249
476	226	248
477	226	247
478	226	246
479	226	245
480	227	245
481	227	244
482	227	243
483	227	242
484	227	242
485	228	241
486	228	240
487	228	239
488	228	238
489	228	238
490	229	237
491	229	236
492	229	235
493	229	235
494	229	234
495	230	233
496	230	233
497	230	232
498	230	231
499	230	230
500	231	230
501	231	229
502	231	228
503	231	227
504	231	227
505	232	226
506	232	225
507	232	225
508	232	224
509	232	223
510	233	222
511	233	222
512	233	221
513	233	220
514	233	220
515	234	219
516	234	218
517	234	218
518	234	217
519	234	216
520	235	216
521	235	215
522	235	214
523	235	214
524	235	213
525	235	212
526	236	211
527	236	211
528	236	210
529	236	209
530	236	209
531	237	208
532	237	207
533	237	207
534	237	206
535	237	205
536	238	205
537	238	204
538	238	203
539	238	203
540	238	202
541	239	201
542	239	201
543	239	200
544	239	200
545	239	199
546	239	198
547	240	198
548	240	197
549	240	196
550	240	196
551	240	195
552	241	194
553	241	194
554	241	193
555	241	192
556	241	192
557	242	191
558	242	191
559	242	190
560	242	189
561	242	189
562	242	188
563	243	188
564	243	187
565	243	186
566	243	186
567	244	185
568	244	184
569	244	184
570	244	183
571	244	183
572	245	182
573	245	181
574	245	181
575	245	180
576	245	180
577	245	179
578	246	178
579	246	178
580	246	177
581	246	177
582	246	176
583	247	175
584	247	175
585	247	174
586	247	174
587	247	173
588	248	173
589	248	172
590	248	171
591	248	171
592	248	170
593	249	170
594	249	169
595	249	169
596	249	168
597	249	167
598	250	167
599	250	166
600	250	166
601	250	165
602	250	165
603	250	164
604	251	163
605	251	163
606	251	162
607	251	162
608	251	161
609	252	161
610	252	160
611	252	160
612	252	159
613	252	159
614	253	158
615	253	157
616	253	157
617	253	156
618	253	156
619	254	155
620	254	155
621	254	154
622	254	154
623	254	153
624	255	153
625	255	152
626	255	151
627	255	151
628	255	150
629	256	150
630	256	149
631	256	149
632	256	148
633	256	148
634	257	147
635	257	147
636	257	146
637	257	146
638	257	145
639	258	145
640	258	144
641	258	144
642	258	143
643	258	143
644	258	142
645	259	142
646	259	141
647	259	140
648	259	140
649	259	139
650	260	139
651	260	138
652	260	138
653	260	137
654	260	137
655	261	136
656	261	136
657	261	135
658	261	135
659	261	134
660	262	134
661	262	133
662	262	133
663	262	132
664	262	132
665	263	131
666	263	131
667	263	130
668	263	130
669	263	129
670	264	129
671	264	128
672	264	128
673	264	128
674	264	127
675	265	127
676	265	126
677	265	126
678	265	125
679	265	125
680	266	124
681	266	124
682	266	123
683	266	123
684	266	122
685	266	122
686	267	121
687	267	121
688	267	120
689	267	120
690	267	119
691	268	119
692	268	118
693	268	118
694	268	117
695	269	117
696	269	117
697	269	116
698	269	116
699	269	115
700	270	115
701	270	114
702	270	114
703	270	113
704	270	113
705	270	112
706	271	112
707	271	111
708	271	111
709	271	110
710	271	110
711	272	110
712	272	109
713	272	109
714	272	108
715	272	108
716	273	107
717	273	107
718	273	106
719	273	106
720	273	106
721	274	105
722	274	105
723	274	104
724	274	104
725	274	103
726	275	103
727	275	102
728	275	102
729	275	101
730	275	101
731	276	101
732	276	100
733	276	100
734	276	99
735	276	99
736	277	98
737	277	98
738	277	97
739	277	97
740	277	97
741	278	96
742	278	96
743	278	95
744	278	95
745	278	94
746	279	94
747	279	94
748	279	93
749	279	93
750	279	92
751	279	92
752	280	91
753	280	91
754	280	91
755	280	90
756	280	90
757	281	89
758	281	89
759	281	88
760	281	88
761	281	88
762	282	87
763	282	87
764	282	86
765	282	86
766	282	85
767	283	85
768	283	85
769	283	84
770	283	84
771	283	83
772	284	83
773	284	83
774	284	82
775	284	82
776	284	81
777	285	81
778	285	80
779	285	80
780	285	80
781	285	79
782	286	79
783	286	78
784	286	78
785	286	78
786	286	77
787	287	77
788	287	76
789	287	76
790	287	76
791	287	75
792	288	75
793	288	74
794	288	74
795	288	73
796	288	73
797	289	73
798	289	72
799	289	72
800	289	71
801	289	71
802	289	71
803	290	70
804	290	70
805	290	69
806	290	69
807	290	69
808	291	68
809	291	68
810	291	67
811	291	67
812	291	67
813	292	66
814	292	66
815	292	65
816	292	65
817	292	65
818	293	64
819	293	64
820	293	63
821	293	63
822	293	63
823	294	62
824	294	62
825	294	62
826	294	61
827	294	61
828	295	60
829	295	60
830	295	60
831	295	59
832	295	59
833	296	58
834	296	58
835	296	58
836	296	57
837	296	57
838	297	57
839	297	56
840	297	56
841	297	55
842	297	55
843	298	55
844	298	54
845	298	54
846	298	53
847	298	53
848	299	53
849	299	52
850	299	52
851	299	52
852	300	51
853	300	51
854	300	50
855	300	50
856	300	50
857	300	49
858	301	49
859	301	49
860	301	48
861	301	48
862	301	47
863	302	47
864	302	47
865	302	46
866	302	46
867	302	46
868	303	45
869	303	45
870	303	44
871	303	44
872	303	44
873	304	43
874	304	43
875	304	43
876	304	42
877	304	42
878	304	41
879	305	41
880	305	41
881	305	40
882	305	40
883	305	40
884	306	39
885	306	39
886	306	39
887	306	38
888	307	38
889	307	37
890	307	37
891	307	37
892	307	36
893	308	36
894	308	36
895	308	35
896	308	35
897	308	35
898	309	34
899	309	34
900	309	34
901	309	33
902	309	33
903	310	32
904	310	32
905	310	32
906	310	31
907	310	31
908	311	31
909	311	30
910	311	30
911	311	30
912	311	29
913	312	29
914	312	29
915	312	28
916	312	28
917	312	27
918	313	27
919	313	27
920	313	26
921	313	26
922	313	26
923	314	25
924	314	25
925	314	25
926	314	24
927	314	24
928	314	24
929	315	23
930	315	23
931	315	23
932	315	22
933	315	22
934	316	21
935	316	21
936	316	21
937	316	20
938	316	20
939	317	20
940	317	19
941	317	19
942	317	19
943	317	18
944	318	18
945	318	18
946	318	17
947	318	17
948	318	17
949	319	16
950	319	16
951	319	16
952	319	15
953	319	15
954	320	15
955	320	14
956	320	14
957	320	14
958	320	13
959	321	13
960	321	13
961	321	12
962	321	12
963	321	12
964	322	11
965	322	11
966	322	11
967	322	10
968	322	10
969	323	9
970	323	9
971	323	9
972	323	8
973	323	8
974	324	8
975	324	7
976	324	7
977	324	7
978	324	6
979	325	6
980	325	6
981	325	5
982	325	5
983	325	5
984	326	4
985	326	4
986	326	4
987	326	3
988	326	3
989	327	3
990	327	2
991	327	2
992	327	2
993	327	1
994	327	1
995	328	1
996	328	0
997	328	0
998	328	0
999	328	0
