iter	Passed	Remaining
0	48	48225
1	49	24529
2	50	16621
3	50	12671
4	51	10322
5	52	8718
6	53	7585
7	54	6721
8	55	6057
9	55	5525
10	56	5083
11	57	4718
12	58	4415
13	58	4152
14	59	3934
15	60	3747
16	61	3574
17	62	3418
18	63	3295
19	64	3167
20	65	3051
21	66	2944
22	67	2849
23	68	2770
24	69	2692
25	69	2620
26	70	2557
27	71	2494
28	72	2442
29	73	2385
30	74	2332
31	75	2289
32	76	2248
33	77	2202
34	78	2160
35	79	2122
36	80	2085
37	80	2047
38	81	2014
39	82	1981
40	83	1954
41	84	1924
42	85	1895
43	85	1866
44	86	1838
45	87	1814
46	88	1789
47	89	1769
48	89	1746
49	91	1730
50	91	1711
51	92	1691
52	93	1674
53	94	1655
54	95	1637
55	96	1622
56	97	1608
57	98	1593
58	99	1579
59	99	1566
60	100	1553
61	101	1540
62	102	1525
63	103	1513
64	104	1501
65	105	1488
66	106	1478
67	107	1468
68	108	1457
69	108	1445
70	109	1433
71	110	1421
72	111	1410
73	111	1399
74	112	1389
75	113	1379
76	114	1368
77	115	1360
78	115	1351
79	116	1342
80	117	1332
81	118	1323
82	118	1309
83	119	1301
84	119	1291
85	120	1282
86	121	1274
87	122	1266
88	122	1257
89	123	1249
90	124	1240
91	124	1232
92	125	1225
93	126	1217
94	127	1211
95	127	1204
96	128	1196
97	129	1190
98	130	1183
99	130	1176
100	131	1170
101	132	1163
102	132	1157
103	133	1151
104	134	1144
105	134	1138
106	135	1132
107	136	1126
108	136	1119
109	137	1113
110	138	1106
111	138	1100
112	139	1094
113	140	1088
114	140	1081
115	141	1074
116	141	1068
117	142	1062
118	142	1057
119	143	1052
120	144	1046
121	144	1038
122	144	1032
123	145	1026
124	145	1020
125	146	1014
126	146	1007
127	147	1001
128	147	995
129	147	989
130	148	983
131	148	977
132	149	972
133	149	967
134	150	963
135	150	958
136	151	953
137	151	948
138	152	943
139	152	938
140	153	933
141	153	927
142	153	922
143	154	917
144	154	912
145	155	908
146	155	903
147	156	898
148	156	894
149	156	889
150	157	884
151	157	879
152	157	874
153	158	870
154	158	865
155	159	861
156	159	856
157	159	852
158	160	847
159	160	842
160	160	837
161	161	833
162	161	828
163	161	824
164	162	821
165	162	817
166	163	814
167	163	811
168	164	807
169	164	803
170	164	799
171	165	795
172	165	791
173	165	787
174	166	783
175	166	779
176	166	776
177	167	772
178	167	768
179	167	765
180	168	761
181	168	757
182	168	753
183	169	750
184	169	746
185	169	742
186	170	739
187	170	735
188	170	731
189	170	728
190	171	724
191	171	721
192	171	717
193	171	714
194	172	711
195	172	707
196	172	704
197	173	701
198	173	698
199	173	695
200	174	691
201	174	688
202	174	685
203	174	682
204	175	679
205	175	676
206	175	673
207	176	670
208	176	667
209	176	664
210	176	661
211	177	659
212	177	656
213	177	653
214	178	650
215	178	647
216	178	644
217	178	642
218	179	639
219	179	636
220	179	633
221	179	630
222	180	627
223	180	625
224	180	622
225	180	619
226	181	616
227	181	613
228	181	611
229	181	608
230	182	605
231	182	603
232	182	600
233	182	597
234	182	595
235	183	594
236	183	591
237	184	589
238	184	586
239	184	584
240	184	581
241	184	579
242	185	576
243	185	574
244	185	571
245	185	569
246	185	566
247	186	564
248	186	562
249	186	559
250	186	557
251	187	555
252	187	553
253	187	550
254	187	548
255	188	546
256	188	544
257	188	542
258	188	540
259	189	538
260	189	535
261	189	533
262	189	531
263	189	529
264	189	526
265	190	524
266	190	522
267	190	520
268	190	518
269	190	516
270	191	514
271	191	511
272	191	509
273	191	507
274	191	505
275	192	503
276	192	501
277	192	499
278	192	497
279	192	495
280	193	493
281	193	491
282	193	489
283	193	488
284	193	486
285	193	484
286	194	482
287	194	480
288	194	478
289	194	476
290	194	474
291	195	473
292	195	471
293	195	469
294	195	467
295	195	466
296	196	464
297	196	462
298	196	460
299	196	459
300	196	457
301	197	455
302	197	453
303	197	452
304	197	450
305	197	448
306	198	447
307	198	445
308	198	444
309	198	442
310	199	440
311	199	439
312	199	437
313	199	436
314	199	434
315	200	433
316	200	431
317	200	429
318	200	428
319	200	426
320	201	425
321	201	423
322	201	422
323	201	420
324	201	419
325	202	417
326	202	416
327	202	414
328	202	413
329	202	411
330	203	410
331	203	408
332	203	407
333	203	406
334	203	404
335	204	403
336	204	401
337	204	400
338	204	398
339	204	397
340	204	396
341	205	394
342	205	393
343	205	391
344	205	390
345	205	389
346	206	387
347	206	386
348	206	385
349	206	383
350	206	382
351	207	381
352	207	379
353	207	378
354	207	377
355	207	375
356	207	374
357	208	373
358	208	371
359	208	370
360	208	369
361	208	368
362	209	366
363	209	365
364	209	364
365	209	363
366	209	361
367	210	360
368	210	359
369	210	358
370	210	357
371	210	356
372	211	354
373	211	353
374	211	352
375	211	351
376	211	350
377	212	349
378	212	347
379	212	346
380	212	345
381	212	344
382	213	343
383	213	342
384	213	341
385	213	340
386	213	338
387	214	337
388	214	336
389	214	335
390	214	334
391	214	333
392	215	332
393	215	331
394	215	330
395	215	328
396	215	327
397	216	326
398	216	325
399	216	324
400	216	323
401	216	322
402	217	321
403	217	320
404	217	319
405	217	318
406	217	317
407	217	316
408	218	315
409	218	314
410	218	313
411	218	312
412	218	311
413	219	310
414	219	309
415	219	308
416	219	307
417	219	306
418	220	305
419	220	304
420	220	303
421	220	302
422	220	301
423	221	300
424	221	299
425	221	298
426	221	297
427	221	296
428	221	295
429	222	294
430	222	293
431	222	292
432	222	291
433	222	290
434	223	289
435	223	288
436	223	288
437	223	287
438	224	286
439	224	285
440	224	284
441	224	283
442	224	282
443	225	281
444	225	280
445	225	280
446	225	279
447	225	278
448	226	277
449	226	276
450	226	275
451	226	274
452	226	274
453	227	273
454	227	272
455	227	271
456	227	270
457	227	269
458	228	268
459	228	268
460	228	267
461	228	266
462	228	265
463	229	264
464	229	263
465	229	263
466	229	262
467	229	261
468	230	260
469	230	259
470	230	258
471	230	258
472	230	257
473	231	256
474	231	255
475	231	254
476	231	254
477	231	253
478	232	252
479	232	251
480	232	250
481	232	250
482	232	249
483	233	248
484	233	247
485	233	247
486	233	246
487	233	245
488	234	244
489	234	243
490	234	243
491	234	242
492	234	241
493	235	240
494	235	240
495	235	239
496	235	238
497	235	237
498	236	237
499	236	236
500	236	235
501	236	234
502	237	234
503	237	233
504	237	232
505	237	232
506	237	231
507	238	230
508	238	229
509	238	229
510	238	228
511	238	227
512	239	227
513	239	226
514	239	225
515	239	224
516	239	224
517	240	223
518	240	222
519	240	222
520	240	221
521	240	220
522	241	219
